Threshold 16   

Day               	Logins            	Time online       	Emails sent       	Emails opened     	Emails deleted    	Total Anomally    	Status            
1                 	0.0               	1.816             	0.0322            	0.2055            	0.0858            	2.1395            	Okay              
2                 	0.0               	0.82              	0.3537            	0.2511            	0.7725            	2.1973            	Okay              
3                 	0.0               	0.288             	0.2894            	0.2055            	0.0858            	0.8686999999999999	Okay              
4                 	1.2821            	2.0504            	0.6752            	0.7078            	1.6309            	6.346399999999999 	Okay              
5                 	1.2821            	2.8192            	0.6109            	0.6621            	0.9442            	6.3185            	Okay              
6                 	5.1282            	1.6888            	2.5402            	2.4886            	5.2361            	17.0819           	Flagged           
7                 	1.2821            	3.3608            	0.3537            	0.4795            	0.7725            	6.2486            	Okay              
8                 	1.2821            	1.9944            	0.6752            	0.7078            	0.7725            	5.4319999999999995	Okay              
9                 	1.2821            	1.2304            	0.6752            	0.7078            	1.6309            	5.526400000000001 	Okay              
10                	1.2821            	0.3928            	0.6752            	0.7078            	0.7725            	3.8304            	Okay              
