Day         	Logins      	Time online 	Emails sent 	Emails opened	Emails deleted
1           	4           	173.2       	10          	13          	7           
2           	4           	140.25      	9           	11          	6           
3           	4           	154.1       	11          	13          	7           
4           	3           	176.13      	8           	9           	5           
5           	5           	115.26      	12          	15          	8           
6           	8           	171.61      	18          	23          	13          
7           	3           	108.49      	9           	10          	6           
8           	3           	175.43      	8           	9           	6           
9           	3           	135.12      	8           	9           	5           
10          	3           	155.41      	8           	9           	6           
